predator_mass	prey_mass
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	19.974
92543	23.516
92543	23.516
95627	19.974
95627	19.974
95627	19.974
95627	19.974
95627	19.974
95627	19.974
95627	23.516
95627	23.516
95627	23.516
95627	23.516
95627	23.516
95627	23.516
95627	23.516
95627	27.467
95627	232.39
122770	0.2328
122770	9.4127
122770	9.4127
122770	9.4127
122770	11.559
122770	11.559
122770	11.559
122770	11.559
122770	11.559
122770	11.559
122770	11.559
122770	11.559
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	14.019
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	16.816
122770	19.974
122770	19.974
122770	19.974
122770	23.516
122770	23.516
122770	23.516
142070	7.5569
122770	14.019
122770	14.019
122770	14.019
122770	16.816
142070	7.5569
142070	7.5569
142070	7.5569
142070	9.4127
142070	9.4127
142070	9.4127
142070	9.4127
142070	9.4127
142070	9.4127
142070	9.4127
142070	9.4127
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	11.559
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	14.019
142070	16.816
142070	16.816
142070	16.816
142070	16.816
142070	19.974
142070	51.791
154550	4.6267
154550	4.6267
154550	5.9691
154550	5.9691
154550	5.9691
154550	5.9691
154550	5.9691
154550	5.9691
154550	5.9691
154550	5.9691
154550	5.9691
154550	7.5569
154550	7.5569
154550	7.5569
154550	7.5569
154550	7.5569
154550	7.5569
154550	7.5569
154550	7.5569
154550	7.5569
154550	7.5569
154550	9.4127
167740	11.559
167740	14.019
167740	14.019
167740	14.019
167740	14.019
167740	14.019
167740	16.816
167740	16.816
167740	16.816
167740	16.816
167740	19.974
167740	19.974
167740	19.974
167740	19.974
198820	9.4127
198820	9.4127
198820	9.4127
198820	9.4127
198820	9.4127
198820	9.4127
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	11.559
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	14.019
198820	16.816
198820	16.816
198820	16.816
198820	16.816
198820	16.816
198820	16.816
198820	16.816
198820	16.816
198820	19.974
225140	0.01942
227890	4.6267
227890	4.6267
227890	5.9691
227890	7.5569
227890	7.5569
227890	7.5569
227890	7.5569
227890	7.5569
227890	7.5569
227890	7.5569
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	9.4127
227890	11.559
227890	4.6267
227890	5.9691
227890	5.9691
227890	5.9691
227890	5.9691
227890	5.9691
227890	7.5569
227890	7.5569
227890	7.5569
227890	7.5569
227890	7.5569
227890	9.4127
227890	9.4127
227890	9.4127
227890	11.559
227890	11.559
227890	11.559
227890	11.559
227890	11.559
227890	14.019
233460	207.77
239120	5.9691
239120	5.9691
239120	5.9691
239120	7.5569
239120	7.5569
239120	7.5569
239120	7.5569
239120	7.5569
239120	9.4127
239120	9.4127
239120	9.4127
239120	9.4127
239120	9.4127
239120	9.4127
239120	9.4127
239120	9.4127
239120	9.4127
239120	9.4127
239120	11.559
239120	7.5569
239120	7.5569
239120	9.4127
239120	9.4127
239120	9.4127
239120	11.559
247780	127.03
271870	16.816
271870	16.816
271870	16.816
271870	16.816
271870	16.816
271870	19.974
271870	19.974
271870	19.974
271870	19.974
271870	23.516
271870	23.516
271870	23.516
271870	27.467
271870	27.467
271870	2792.4
281280	23.516
281280	23.516
281280	23.516
281280	23.516
281280	23.516
281280	23.516
281280	23.516
281280	23.516
281280	23.516
281280	23.516
281280	27.467
281280	27.467
281280	27.467
281280	27.467
281280	27.467
281280	27.467
281280	27.467
281280	27.467
281280	27.467
290910	7.5569
290910	9.4127
290910	16.816
290910	16.816
290910	16.816
290910	16.816
290910	16.816
290910	19.974
290910	19.974
290910	19.974
290910	19.974
290910	19.974
290910	19.974
290910	19.974
290910	19.974
290910	19.974
290910	19.974
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	23.516
290910	27.467
290910	27.467
290910	27.467
290910	27.467
290910	27.467
290910	27.467
290910	27.467
290910	27.467
290910	27.467
290910	27.467
290910	31.85
290910	31.85
290910	36.691
290910	36.691
304090	0.19469
304090	0.2328
304090	19.974
304090	23.516
304090	23.516
304090	23.516
304090	23.516
304090	27.467
304090	27.467
304090	31.85
