;Max_length;Common_length;Source;
Diproctacanthus xanthurus;10;NA;Fishbase;
Doratonotus megalepis;9.4;NA;Fishbase;
Dotalabrus alleni;8.4;NA;Fishbase;
Dotalabrus aurantiacus;11.1;NA;Fishbase;
Elops affinis;91;50;Fishbase;
Elops hawaiensis;120;50;Fishbase;
Elops lacerta;100;60;Fishbase;
Elops machnata;118;50;Fishbase;
Elops saurus;100;60;Fishbase;
Elops senegalensis;90;60;Fishbase;
Elops smithi;44;NA;Fishbase;
Epibulus brevis;18.5;NA;Fishbase;
Epibulus insidiator;54;NA;Fishbase;
Eupetrichthys angustipes;12.4;NA;Fishbase;
Euthynnus affinis;100;60;Fishbase;
Euthynnus alletteratus;122;80;Fishbase;
Euthynnus lineatus;84;60;Fishbase;
Forcipiger flavissimus;22;NA;Fishbase;
Forcipiger longirostris;22;NA;Fishbase;
Frontilabrus caeruleus;9.4;NA;Fishbase;
Gasterochisma melampus;164;NA;Fishbase;
Genicanthus bellus;18;NA;Fishbase;
Genicanthus caudovittatus;20;NA;Fishbase;
Genicanthus lamarck;25;NA;Fishbase;
Genicanthus melanospilos;18;NA;Fishbase;
Genicanthus personatus;21;NA;Fishbase;
Genicanthus semicinctus;21;NA;Fishbase;
Genicanthus semifasciatus;21;NA;Fishbase;
Genicanthus spinus;35;NA;Fishbase;
Genicanthus takeuchii;25;NA;Fishbase;
Genicanthus watanabei;15;NA;Fishbase;
Gomphosus caeruleus;32;NA;Fishbase;
Gomphosus varius;30;NA;Fishbase;
Grammatorcynus bicarinatus;112;NA;Fishbase;
Grammatorcynus bilineatus;100;50;Fishbase;
Gymnosarda unicolor;248;190;Fishbase;
Haletta semifasciata;29;NA;Fishbase;
Halichoeres adustus;12.5;NA;Fishbase;
Halichoeres aestuaricola;22;NA;Fishbase;
Halichoeres argus;12;NA;Fishbase;
Halichoeres bathyphilus;23;NA;Fishbase;
Halichoeres bicolor;12;NA;Fishbase;
Halichoeres binotopsis;8.9;NA;Fishbase;
Halichoeres biocellatus;12;NA;Fishbase;
Halichoeres bivittatus;35;NA;Fishbase;
Halichoeres bleekeri;12.2;NA;Fishbase;
Halichoeres brasiliensis;39.5;NA;Fishbase;
Halichoeres brownfieldi;15;NA;Fishbase;
Halichoeres burekae;7.7;NA;Fishbase;
Halichoeres caudalis;20;NA;Fishbase;
Halichoeres chierchiae;17.5;NA;Fishbase;
Halichoeres chlorocephalus;7.5;NA;Fishbase;
Halichoeres chloropterus;19;NA;Fishbase;
Halichoeres chrysus;12;NA;Fishbase;
