Source;Target
Hemilepidotus spinosus;Callionymus lyra
Hygophum benoiti;Callionymus lyra
Lampanyctus crocodilus;Callionymus lyra
Lumpenella longirostris;Callionymus lyra
Lumpenus sagitta;Callionymus lyra
Merluccius productus;Callionymus lyra
Myctophum asperum;Callionymus lyra
Myctophum punctatum;Callionymus lyra
Notolepis rissoi;Callionymus lyra
Oncorhynchus gorbuscha;Callionymus lyra
Psychrolutes paradoxus;Callionymus lyra
Rhamphocottus richardsoni;Callionymus lyra
Scorpaenodes sp.;Callionymus lyra
Sebastes sp.;Callionymus lyra
amphipod;Callionymus maculatus
Calliopius sp.;Callionymus maculatus
Clupea pallasii;Callionymus maculatus
Copepod copepodite;Callionymus maculatus
Copepod egg;Callionymus maculatus
copepod nauplius;Callionymus maculatus
E.superba furcilia;Callionymus maculatus
Eucalanus bungii;Callionymus maculatus
Euphausa superba;Callionymus maculatus
euphausia;Callionymus maculatus
Hyperidae;Callionymus maculatus
Lumpenus sagitta;Callionymus maculatus
Notothenia neglecta;Callionymus maculatus
Nototheniops larseni;Callionymus maculatus
