"" "" "pL" "pCooc"
"462" "SP187" "SP12" "0.0110253432317985" NA
"463" "SP188" "SP12" "0.00414429199751892" NA
"464" "SP189" "SP12" "0.0149857638825706" NA
"465" "SP190" "SP12" "0.00885992460804905" NA
"466" "SP191" "SP12" "0.00146594911930313" NA
"467" "SP192" "SP12" "0.00101111829378191" NA
"468" "SP193" "SP12" "0.000476785480145057" NA
"469" "SP194" "SP12" "0.000646943183265551" NA
"470" "SP195" "SP12" "0.0469673770684783" NA
"471" "SP196" "SP12" "0.00721252446918531" NA
"472" "SP197" "SP12" "0.0370381042352516" NA
"473" "SP198" "SP12" "0.00298714586833578" NA
"474" "SP199" "SP12" "0.0306245754728732" NA
"475" "SP200" "SP12" "0.0146212773523895" NA
"476" "SP201" "SP12" "0.00493874886955205" NA
"477" "SP202" "SP12" "0.0178988299740782" NA
"478" "SP203" "SP12" "0.00885992460804905" NA
"479" "SP204" "SP12" "0.0222014723046029" NA
"480" "SP205" "SP12" "0.0188645252972159" NA
"481" "SP206" "SP12" "0.0263536276538149" NA
"482" "SP207" "SP12" "0.0358537778733514" NA
"483" "SP208" "SP12" "0.0110253432317985" NA
"484" "SP209" "SP12" "0.0135945976019294" NA
"485" "SP210" "SP12" "0.00814817875256247" NA
"486" "SP211" "SP12" "0.00156518679970049" NA
"487" "SP212" "SP12" "0.000626837351982943" NA
"488" "SP213" "SP12" "0.000109304611925448" NA
"489" "SP214" "SP12" "0.00414429199751892" NA
"490" "SP215" "SP12" "0.00593843589103876" NA
"491" "SP216" "SP12" "0.00167303257997097" NA
"492" "SP217" "SP12" "0.0012901079500043" NA
"493" "SP218" "SP12" "0.0382745894485753" NA
"494" "SP219" "SP12" "1.62460487735307e-06" NA
"495" "SP220" "SP12" "0.000109304611925448" NA
"496" "SP224" "SP12" "0.0152858859764226" NA
"497" "SP231" "SP12" "4.29757337867061e-05" NA
"498" "SP232" "SP12" "0.000145529727917509" NA
"499" "SP233" "SP12" "8.35514141191758e-05" NA
"500" "SP234" "SP12" "2.78868652967011e-06" NA
"501" "SP235" "SP12" "0.00058286967375962" NA
"502" "SP236" "SP12" "0.00721252446918531" NA
"503" "SP237" "SP12" "0.00721252446918531" NA
"504" "SP238" "SP12" "0.00493874886955205" NA
"505" "SP239" "SP12" "1.41180986935936e-06" NA
"506" "SP241" "SP12" "2.78868652967011e-06" NA
"507" "SP244" "SP12" "0.00721252446918531" NA
"508" "SP251" "SP12" "1.53517243263192e-06" NA
"509" "SP261" "SP12" "0.00721252446918531" NA
"510" "SP262" "SP12" "0.023483682681872" NA
"511" "SP271" "SP12" "1.53517243263192e-06" NA
"512" "SP280" "SP12" "0.0189647928825908" NA
"513" "SP281" "SP12" "0.0193728805534149" NA
"514" "SP282" "SP12" "0.0110253432317985" NA
"515" "SP283" "SP12" "0.0178988299740782" NA
"516" "SP284" "SP12" "0.0382745894485753" NA
"517" "SP291" "SP12" "0.00221089240547117" NA
"518" "SP301" "SP12" "0.000121423913241144" NA
"519" "SP302" "SP12" "0.000169171521669773" NA
"520" "SP304" "SP12" "4.62297422816885e-07" NA
"521" "SP310" "SP12" "0.000171523900356731" NA
"522" "SP311" "SP12" "0.000197731011738074" NA
"523" "SP312" "SP12" "0.00058286967375962" NA
"524" "SP313" "SP12" "0.000252685919835469" NA
"525" "SP314" "SP12" "0.000232482916034602" NA
"526" "SP315" "SP12" "0.0012901079500043" NA
"527" "SP316" "SP12" "3.64192289971889e-05" NA
"528" "SP317" "SP12" "9.79457451820921e-06" NA
"529" "SP318" "SP12" "9.53688877473395e-05" NA
"530" "SP319" "SP12" "0.000125827007169525" NA
"531" "SP320" "SP12" "0.00062486990097678" NA
"532" "SP323" "SP12" "0.00058286967375962" NA
"533" "SP324" "SP12" "0.00493874886955205" NA
"534" "SP331" "SP12" "0.000117208714183029" NA
"535" "SP332" "SP12" "2.52947179407132e-05" NA
"536" "SP333" "SP12" NA NA
"537" "SP334" "SP12" "6.61138803593184e-06" NA
"538" "SP335" "SP12" "0.021009240455865" NA
"539" "SP336" "SP12" "0.00350570835028627" NA
"540" "SP337" "SP12" "0.0255948871910283" NA
"541" "SP338" "SP12" "0.0297013708761936" NA
"542" "SP339" "SP12" "0.021009240455865" NA
"543" "SP340" "SP12" "0.0805124221962835" NA
"544" "SP341" "SP12" "0.0297013708761936" NA
"545" "SP342" "SP12" "0.00298714586833578" NA
"546" "SP343" "SP12" "0.0297013708761936" NA
"547" "SP344" "SP12" "0.0110253432317985" NA
"548" "SP345" "SP12" "0.0248645131899309" NA
"549" "SP346" "SP12" "0.0110253432317985" NA
"550" "SP347" "SP12" "1.23360741908673e-05" NA
"551" "SP350" "SP12" "0.00113996966282839" NA
"552" "SP361" "SP12" "0.00721252446918531" NA
"553" "SP366" "SP12" "0.00119724509951098" NA
"554" "SP367" "SP12" "0.00986641883856562" NA
"555" "SP371" "SP12" "1.0638048461889e-05" NA
"556" "SP380" "SP12" "0.00118259385950657" NA
"557" "SP381" "SP12" "0.00493874886955205" NA
"558" "SP382" "SP12" "0.00867471936444996" NA
"559" "SP383" "SP12" "0.00666444701218817" NA
"560" "SP384" "SP12" "0.00146594911930313" NA
"561" "SP387" "SP12" "6.10086559589943e-05" NA
"562" "SP391" "SP12" "5.74374163592398e-05" NA
"563" "SP396" "SP12" "6.10086559589943e-05" NA
"564" "SP461" "SP12" "1.43733272433576e-05" NA
"565" "SP471" "SP12" "0.000197731011738074" NA
"566" "SP472" "SP12" "0.000209113689117718" NA
"567" "SP481" "SP12" "0.000160392982312226" NA
"568" "SP482" "SP12" "8.35514141191758e-05" NA
"569" "SP630" "SP12" "0.023483682681872" NA
"570" "SP631" "SP12" "7.13410881356549e-06" NA
"571" "SP632" "SP12" "1.82291528311603e-06" NA
"572" "SP633" "SP12" "3.86894745486578e-06" NA
"573" "SP634" "SP12" "0.00721252446918531" NA
"574" "SP702" "SP12" "0.000242324309036591" NA
"575" "SP900" "SP12" NA NA
"576" "SP999" "SP12" NA NA
"577" "SP0" "SP13" NA NA
"578" "SP11" "SP13" "0.0284499745421415" NA
