"","x"
"775",0.00189657132439032
"776",0.00189657132439032
"777",0.00189657132439032
"778",0.00161201745225296
"779",0.0013792852775819
"780",0.0013792852775819
"781",0.0012787891241543
"782",0.0012787891241543
"783",0.00102781342653839
"784",0.000894301645047078
"785",0.000894301645047078
"786",0.000644331474505992
"787",0.000644331474505992
"788",0.000644331474505992
"789",0.000644331474505992
"790",0.000605322932523215
"791",0.000535765360824054
"792",0.0004759010828846
"793",0.000358971779133913
"794",0.000358971779133913
"795",0.000358971779133913
"796",0.000358971779133913
"797",0.000358971779133913
"798",0.000275711218782467
"799",0.000275711218782467
"800",0.000275711218782467
"801",0.000275711218782467
"802",0.000262048316105355
"803",0.000249214639969642
"804",0.000215116688085413
"805",0.000215116688085413
"806",0.000215116688085413
"807",0.000170172001137917
"808",0.000136273820388026
"809",0.000136273820388026
"810",0.000136273820388026
"811",0.000136273820388026
"812",0.000136273820388026
"813",0.000136273820388026
"814",0.000136273820388026
"815",0.000136273820388026
"816",0.000136273820388026
"817",0.000136273820388026
"818",0.000136273820388026
"819",9.0198890598748e-05
"820",9.0198890598748e-05
"821",9.0198890598748e-05
"822",9.0198890598748e-05
"823",7.44005449469039e-05
"824",6.18657833344149e-05
"825",6.18657833344149e-05
"826",6.18657833344149e-05
"827",6.18657833344149e-05
"828",6.18657833344149e-05
"829",6.18657833344149e-05
"830",6.18657833344149e-05
"831",6.18657833344149e-05
"832",6.18657833344149e-05
"833",4.37039732721112e-05
"834",4.37039732721112e-05
"835",3.1652738687183e-05
"836",3.1652738687183e-05
"837",3.1652738687183e-05
"838",3.1652738687183e-05
"839",3.1652738687183e-05
"840",2.3418874146806e-05
"841",2.3418874146806e-05
"842",2.3418874146806e-05
"843",2.3418874146806e-05
"844",2.3418874146806e-05
"845",2.3418874146806e-05
"846",1.76502284974411e-05
"847",1.76502284974411e-05
"848",1.35196909281833e-05
"849",1.35196909281833e-05
"850",1.35196909281833e-05
"851",1.35196909281833e-05
"852",1.35196909281833e-05
"853",1.35196909281833e-05
"854",1.35196909281833e-05
"855",1.35196909281833e-05
"856",1.35196909281833e-05
"857",1.05050284969058e-05
"858",1.05050284969058e-05
"859",1.05050284969058e-05
"860",1.05050284969058e-05
"861",8.2672673791829e-06
"862",8.2672673791829e-06
"863",6.58096632380014e-06
"864",6.58096632380014e-06
"865",6.58096632380014e-06
"866",6.58096632380014e-06
"867",6.58096632380014e-06
"868",4.29697663528727e-06
"869",4.29697663528727e-06
"870",4.29697663528727e-06
"871",4.29697663528727e-06
"872",4.29697663528727e-06
"873",4.29697663528727e-06
"874",4.29697663528727e-06
"875",4.29697663528727e-06
"876",3.51831037322041e-06
"877",2.90333036933596e-06
"878",2.90333036933596e-06
"879",2.90333036933596e-06
"880",2.90333036933596e-06
"881",1.6996297153975e-06
"882",1.6996297153975e-06
"883",1.6996297153975e-06
"884",1.6996297153975e-06
"885",1.6996297153975e-06
"886",1.6996297153975e-06
"887",1.6996297153975e-06
